"","S001","S002","S003","S004","S005","S006","S007","S008","S009","S010","S011","S012","S013","S014","S015","S016","S017","S018","S019","S020","S021","S022","S023","S024","S025","S026","S027","S028","S029","S030","S031","S032","S033","S034","S035","S036","S037","S038","S039","S040","S041","S042","S043","S044","S045","S046","S047","S048","S049","S050","S051","S052","S053","S054","S055","S056","S057","S058","S059","S060","S061","S062","S063","S064","S065","S066","S067","S068","S069","S070","S071","S072","S073","S074","S075","S076","S077","S078","S079","S080","S081","S082","S083","S084","S085","S086","S087","S088","S089","S090","S091","S092","S093","S094","S095","S096","S097","S098","S099","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120"
"Gene28397",0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"Gene28398",1,1,1,0,3,0,1,0,4,4,1,2,4,1,8,0,3,0,5,2,2,1,2,1,0,1,1,1,0,0,5,1,1,0,1,2,0,1,3,3,4,1,3,3,1,2,3,0,0,0,2,3,1,0,3,2,0,1,0,1,1,0,4,1,4,0,3,0,3,0,5,1,1,7,1,1,1,0,0,3,4,3,2,3,4,1,1,2,4,0,2,2,1,4,1,0,0,3,3,0,1,3,0,1,0,2,2,2,4,0,0,6,2,5,3,0,2,1,2,0
"Gene28399",5,30,6,24,12,4,8,28,3,16,4,15,1,14,8,12,13,11,11,19,10,9,13,18,6,4,3,16,4,24,3,21,3,5,5,13,2,12,3,10,6,13,3,21,0,9,1,15,7,14,6,7,1,2,5,12,6,15,3,13,10,18,5,20,5,17,10,19,8,12,5,34,6,32,7,13,6,15,9,8,9,19,5,13,13,17,4,18,5,23,3,10,2,9,2,12,1,16,3,7,1,5,4,4,8,10,2,9,4,15,1,6,0,8,2,12,5,15,2,10
"Gene28400",0,3,3,1,2,2,1,1,3,1,1,2,1,0,1,3,0,1,1,2,0,1,1,0,1,3,2,4,2,0,4,2,4,2,1,1,0,2,0,3,3,2,5,0,4,1,3,3,1,2,1,2,2,0,2,1,1,3,1,2,0,2,1,2,1,2,4,2,1,0,1,3,0,3,0,3,1,4,2,1,1,2,0,2,0,1,2,1,1,0,2,2,3,0,0,0,1,1,2,1,1,1,1,1,2,0,1,0,0,0,0,2,1,1,1,1,2,5,0,2
"Gene28401",9,6,5,7,9,12,5,12,4,1,8,4,13,9,4,4,5,3,12,2,2,4,6,4,11,6,8,5,4,11,9,3,26,4,14,4,3,7,7,5,9,11,2,6,5,8,7,7,6,12,6,6,4,7,3,7,7,15,8,6,8,10,11,22,14,7,7,12,7,12,12,12,14,10,12,9,7,20,17,10,15,20,9,8,13,15,7,8,7,12,5,7,3,7,7,17,5,4,8,5,15,9,10,6,15,14,14,4,1,5,8,15,7,8,6,11,9,5,3,9
"Gene28402",2,3,0,2,2,2,3,1,1,0,0,0,3,4,2,4,0,4,2,0,1,2,0,2,0,1,2,5,1,0,2,3,5,1,3,0,1,1,0,1,2,3,2,1,3,0,5,3,2,0,1,1,3,3,0,2,2,3,0,0,3,0,0,5,6,2,1,3,1,1,1,3,0,2,4,1,0,2,2,1,1,3,3,4,2,4,7,3,1,1,2,2,0,1,4,0,2,3,1,1,2,4,2,1,4,3,4,2,0,0,6,2,4,1,1,1,1,0,4,0
"Gene28403",13,6,5,9,7,11,6,17,7,17,8,8,4,6,9,5,1,8,4,5,12,13,6,9,3,6,5,5,5,12,14,17,5,7,8,13,12,11,6,10,4,15,7,19,6,12,3,12,2,12,7,14,6,9,3,10,2,19,4,16,5,10,8,7,13,18,7,10,4,8,7,6,7,23,4,25,5,8,8,15,12,17,11,13,6,16,5,15,6,20,7,20,9,17,9,35,12,18,7,23,9,20,8,16,14,32,10,25,12,19,10,29,3,20,11,10,13,21,15,13
"Gene28404",1,2,1,1,5,4,1,5,1,2,1,2,7,1,11,1,7,4,5,0,6,4,2,6,0,2,4,0,14,3,0,0,1,0,2,1,1,4,2,3,2,2,4,9,0,4,6,5,1,1,2,1,0,2,3,0,7,1,4,5,4,0,4,2,4,5,0,3,0,4,5,0,0,7,4,2,1,2,5,0,5,4,2,9,3,2,4,0,3,6,1,4,1,1,0,9,3,3,4,8,2,1,5,1,6,1,0,3,12,0,1,4,5,6,1,1,1,0,3,0
"Gene28405",4,3,6,4,20,2,8,6,3,11,9,9,13,7,12,17,17,14,17,5,10,8,5,3,9,4,12,19,5,5,1,8,8,0,10,6,6,6,1,2,6,4,7,9,6,14,4,7,8,2,7,4,4,7,6,5,7,0,2,3,3,2,6,0,2,2,3,5,0,5,1,2,4,9,6,7,2,4,2,8,3,9,6,0,1,9,5,0,6,5,12,2,11,5,2,3,1,5,6,4,2,15,11,15,6,12,10,9,7,4,8,6,9,3,11,1,3,5,2,4
"Gene28406",0,0,0,1,1,2,2,2,1,2,0,1,2,3,2,1,1,1,1,0,0,1,1,0,0,0,2,1,0,0,1,3,2,0,4,0,3,4,1,2,1,3,1,1,1,0,1,2,3,2,1,2,0,2,3,1,3,2,1,2,2,0,1,1,2,2,1,1,1,1,3,2,2,3,2,1,2,0,3,0,4,3,4,0,0,1,3,2,0,1,1,1,0,2,1,0,0,0,3,0,0,2,0,3,1,3,0,1,1,0,1,3,0,0,0,1,0,0,0,1
"Gene28407",12,8,10,13,7,13,7,12,4,3,5,3,14,17,9,6,12,6,10,10,8,6,11,7,8,8,11,10,8,14,7,4,12,1,4,6,6,2,4,3,8,5,6,1,10,0,3,10,5,6,2,3,3,1,4,5,2,6,5,8,10,9,9,7,19,3,11,15,13,4,2,12,8,10,11,5,3,7,12,11,11,6,17,12,5,11,15,6,7,11,9,2,2,3,10,7,16,8,5,4,5,4,7,8,9,11,15,4,5,4,6,12,6,9,7,7,11,13,5,4
"Gene28408",3,3,0,3,7,6,6,4,2,4,0,9,4,4,2,5,1,0,10,3,5,3,3,5,1,2,3,2,0,10,2,12,6,2,11,3,2,1,5,8,8,6,2,3,4,3,3,3,5,4,1,2,5,3,1,5,3,5,3,4,10,2,1,3,12,3,2,5,9,3,3,5,6,7,4,5,2,4,14,5,4,6,3,2,1,5,1,5,8,8,2,10,4,5,5,7,7,7,9,4,0,3,5,7,11,5,6,2,2,5,10,11,3,3,5,6,0,18,5,4
"Gene28409",7,2,2,8,3,3,5,8,9,4,5,10,2,1,4,6,2,5,12,2,3,6,1,5,1,10,8,5,4,10,15,8,6,11,13,8,5,9,4,7,4,9,3,11,6,2,5,10,2,7,4,8,5,5,11,3,13,8,12,12,1,13,0,11,9,6,7,10,7,11,1,11,4,18,5,4,3,10,6,6,2,8,21,5,4,12,8,13,4,12,4,3,1,6,6,9,4,6,2,6,4,6,5,21,15,4,14,8,3,4,3,11,4,4,2,2,3,5,1,9
"Gene28410",1,1,1,3,0,3,1,2,4,0,1,0,7,0,0,0,0,1,5,2,3,0,0,3,3,1,2,2,2,2,5,3,4,5,2,1,2,3,1,2,5,4,4,4,2,3,7,0,1,1,5,3,2,2,2,1,0,0,3,1,0,2,3,2,0,1,1,0,1,0,3,4,3,0,0,0,1,0,5,2,1,2,1,2,3,1,4,0,3,1,2,9,1,5,1,8,3,0,4,1,0,8,4,4,3,0,9,2,0,5,3,3,3,0,0,1,4,8,3,0
"Gene28411",3,3,4,1,6,1,3,6,2,1,2,1,1,0,4,1,0,1,8,1,2,1,3,1,0,3,2,4,0,4,0,1,6,2,6,2,3,1,4,1,2,3,2,2,0,4,3,4,1,4,2,2,1,2,0,3,1,3,4,1,0,0,2,1,1,0,1,0,1,0,0,1,0,1,3,1,0,3,1,3,4,4,1,3,1,2,2,0,0,2,1,0,0,2,0,1,3,1,2,3,1,2,1,0,1,2,2,1,1,1,2,1,0,1,1,1,2,0,0,1
"Gene28412",2,2,0,2,2,1,5,0,0,3,1,2,2,1,0,4,0,1,0,2,1,0,0,0,1,0,2,1,3,2,2,1,1,2,3,1,2,2,2,3,0,2,4,3,0,4,0,2,0,4,2,4,0,0,0,3,0,1,3,0,1,5,1,4,1,1,2,4,2,4,3,3,7,4,0,3,7,2,6,3,4,1,0,1,3,3,3,4,0,2,4,6,0,2,3,4,3,1,2,3,3,0,1,4,3,2,4,1,0,1,0,6,3,3,1,0,5,0,2,5
"Gene28413",1,1,2,1,3,3,4,0,3,5,1,2,4,0,8,1,3,1,3,7,1,2,4,1,4,0,5,1,1,3,5,3,16,7,3,6,2,3,3,9,8,6,6,8,6,4,7,9,5,1,5,6,7,4,5,3,13,8,14,5,7,2,3,6,4,2,2,2,1,2,3,2,2,3,6,4,0,1,5,0,4,6,4,6,4,3,2,0,2,3,10,2,3,4,6,6,10,3,2,6,3,5,7,9,2,5,10,3,1,10,3,6,4,8,4,4,8,3,4,2
"Gene28414",9,1,1,1,4,5,1,0,1,3,2,2,8,2,3,2,2,2,2,1,0,2,2,0,1,4,2,3,2,3,1,3,2,3,1,3,3,3,3,0,3,7,2,1,2,6,6,3,1,1,1,4,3,1,2,3,0,1,2,4,3,3,2,4,2,0,1,3,3,3,3,2,2,7,5,2,2,4,3,4,2,0,2,2,4,2,1,2,0,3,1,4,7,0,5,6,3,1,5,1,1,2,1,3,4,1,8,3,6,5,5,5,4,2,4,9,5,5,2,4
"Gene28415",10,3,6,9,4,5,3,4,3,3,6,5,4,7,6,4,6,5,4,6,2,1,4,3,4,8,12,7,5,8,8,8,16,6,10,4,4,3,10,10,2,8,6,11,4,3,5,8,6,7,5,17,11,6,7,3,6,5,2,5,4,9,0,3,10,2,5,6,9,3,4,9,2,17,9,7,5,10,9,3,8,11,3,9,3,4,8,3,7,7,3,11,2,1,7,10,8,6,3,6,6,6,6,3,13,7,5,2,5,5,8,10,2,14,14,10,3,9,5,6
"Gene28416",2,2,2,0,2,1,1,0,2,1,1,4,5,2,0,4,1,1,1,3,0,2,1,0,2,0,0,0,2,1,0,1,3,0,4,1,2,2,1,1,0,3,2,2,2,0,1,1,1,2,2,0,0,0,0,0,0,1,1,1,3,3,1,1,0,1,1,1,0,2,0,0,1,2,0,3,0,5,0,2,2,1,1,1,2,0,2,0,2,4,4,1,1,3,0,1,3,1,2,2,0,0,1,2,0,2,0,1,1,3,3,2,4,3,2,0,4,1,2,1
"Gene28417",2,1,3,5,3,4,5,1,1,1,1,2,1,2,1,1,1,3,6,2,2,1,3,1,4,2,3,4,4,3,6,3,5,3,7,1,5,4,3,6,4,4,4,3,5,3,3,2,2,1,4,1,1,3,2,3,6,2,3,4,4,3,0,2,1,3,2,1,2,4,2,2,3,4,2,2,4,5,4,2,3,2,4,2,5,2,4,0,5,5,1,7,0,1,3,4,3,5,1,2,1,7,3,1,8,7,6,3,0,3,2,5,5,4,4,6,1,6,5,2
"Gene28418",2,1,1,1,0,1,4,4,2,2,3,0,2,2,1,1,2,2,3,3,0,2,0,3,1,2,1,5,1,0,1,0,2,1,1,2,1,1,1,0,0,5,2,3,3,1,2,2,2,4,3,1,0,0,1,1,5,2,2,6,3,2,1,2,0,2,0,1,1,1,0,2,0,4,3,1,2,2,4,1,1,0,5,6,1,3,5,1,1,1,0,4,2,4,1,1,2,0,2,4,0,1,1,7,4,2,4,4,2,1,5,3,3,2,1,3,1,3,4,3
"Gene28419",4,2,2,0,1,1,8,1,1,0,1,0,3,4,3,6,1,4,2,2,2,2,4,2,0,1,4,4,4,5,5,2,9,1,0,4,3,1,4,5,2,5,1,3,2,6,4,1,2,1,0,0,4,0,2,3,3,8,4,3,2,2,0,3,1,1,0,4,10,0,0,1,1,3,2,2,1,11,1,1,4,0,3,3,2,1,5,2,0,8,1,8,6,3,6,2,4,5,1,2,1,5,4,5,2,5,3,0,3,3,3,2,4,7,1,4,4,1,0,1
"Gene28420",2,5,3,5,8,3,10,1,6,5,4,6,13,7,1,16,1,0,3,3,7,6,2,11,2,4,5,3,1,2,11,2,16,11,9,5,4,15,6,4,3,10,4,6,15,6,3,6,1,9,9,4,5,2,10,0,13,10,5,1,6,3,6,6,9,4,5,1,3,2,7,8,0,9,3,6,4,2,14,2,9,2,14,9,3,7,8,1,0,4,6,6,3,8,3,2,2,13,4,3,10,12,4,2,8,7,5,3,5,4,4,5,4,3,0,7,1,1,3,7
"Gene28421",0,2,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,1,1,1,1,0,2,2,1,0,1,1,1,0,0,1,2,1,0,0,0,3,0,0,0,0,1,1,1,0,0,1,0,3,1,0,0,0,1,3,1,0,0,1,0,2,2,0,1,0,0,2,0,1,0,1,2,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,2,0,0,0,1,1
"Gene28422",3,2,4,7,3,4,2,3,2,6,1,1,5,3,3,4,3,6,0,1,3,2,2,7,3,7,4,6,6,6,14,4,10,2,12,3,6,11,8,2,3,1,6,5,3,4,5,2,8,3,0,7,3,4,2,2,5,7,6,6,2,4,2,4,2,3,3,3,4,1,1,0,6,3,3,2,1,3,3,3,4,2,4,5,3,4,7,3,6,4,6,3,3,4,8,3,2,4,1,1,2,2,4,0,4,3,7,1,5,3,6,5,3,6,1,1,2,3,3,9
"Gene28423",4,5,0,6,4,2,11,5,4,5,5,4,3,2,0,1,3,0,4,5,4,3,2,1,7,5,7,3,2,7,8,4,12,8,4,2,8,7,6,0,4,1,10,9,6,3,8,11,1,12,4,4,6,3,1,7,4,9,4,4,6,10,5,4,2,0,6,5,1,4,2,4,2,8,3,2,4,2,6,3,13,3,2,12,2,3,4,2,2,2,2,6,1,3,3,4,3,7,6,5,7,7,3,5,5,1,6,3,5,4,3,7,3,3,2,8,4,11,4,3
"Gene28424",6,7,2,5,14,12,25,9,5,8,5,10,5,7,6,4,11,7,8,12,7,7,6,7,4,4,9,17,11,8,4,0,17,1,7,1,5,2,1,3,1,3,6,1,1,9,6,3,2,7,0,4,0,3,3,3,2,7,4,6,8,5,4,5,9,4,8,3,6,7,2,5,2,8,6,1,1,4,7,3,3,13,4,10,3,10,14,2,2,11,6,5,4,5,9,10,5,3,4,10,4,8,3,6,8,6,6,6,3,2,4,4,4,5,1,4,6,11,1,6
"Gene28425",1,0,7,1,6,9,5,9,1,10,3,1,2,2,6,7,4,1,2,4,6,9,9,3,4,3,4,9,6,9,2,2,4,0,5,6,3,9,3,5,5,3,0,3,6,7,2,5,2,3,2,3,3,3,1,8,2,4,4,11,6,6,3,7,4,9,3,4,2,6,7,1,3,6,9,4,2,3,11,4,4,7,5,4,7,9,6,8,3,7,10,12,7,1,4,4,7,5,3,1,5,2,4,4,4,3,2,4,10,7,1,4,5,1,1,5,3,6,4,7
"Gene28426",1,5,2,1,1,2,1,2,1,1,2,2,1,2,6,5,5,1,4,1,4,2,2,2,1,0,1,2,4,6,4,2,1,3,0,2,3,4,2,1,5,4,2,7,3,2,3,4,0,6,2,2,2,0,0,3,1,1,2,4,3,2,5,3,1,1,2,3,1,5,0,4,2,3,6,1,4,7,2,2,3,2,0,0,0,2,3,4,3,3,4,5,2,1,0,5,0,3,1,4,1,3,2,4,5,1,3,1,4,3,3,7,0,9,6,1,4,1,3,4
"Gene28427",4,1,3,1,2,4,1,5,0,1,1,1,1,2,3,3,0,0,2,4,1,2,5,2,1,1,1,3,3,6,2,6,2,4,3,0,1,0,0,2,6,0,2,0,2,3,4,1,0,2,3,2,1,1,1,0,2,2,0,4,2,0,6,2,1,4,0,0,3,2,0,3,2,1,5,1,0,1,2,2,6,1,2,1,0,1,1,1,0,3,1,0,1,5,2,0,1,0,5,1,1,0,4,1,2,2,2,0,5,3,2,2,2,3,4,3,1,0,1,2
"Gene28428",1,1,5,2,8,3,5,2,0,3,2,2,8,1,0,3,3,2,4,2,1,5,4,1,3,0,3,1,2,5,7,2,1,1,0,1,3,1,3,1,1,0,2,2,3,0,2,3,1,0,4,1,5,2,2,2,6,0,0,2,0,1,3,3,1,3,3,0,3,3,0,0,4,2,5,4,1,2,0,3,3,4,2,4,3,4,3,2,0,3,3,3,1,2,0,3,0,1,3,2,1,1,3,2,5,1,5,4,4,1,6,1,4,1,4,2,1,1,2,1
"Gene28429",3,3,3,1,4,1,6,1,2,2,3,4,3,0,1,3,2,4,4,2,4,2,4,4,2,1,3,3,1,0,7,1,7,1,3,0,2,5,1,1,5,2,3,0,0,8,7,1,2,1,4,3,6,3,1,3,1,4,3,5,0,1,1,2,1,2,1,1,3,0,0,3,3,3,3,3,1,2,6,3,3,3,3,3,4,4,5,1,0,3,5,1,2,1,2,2,1,3,4,4,3,1,0,1,1,2,6,3,1,1,0,1,0,0,1,0,0,0,0,0
"Gene28430",2,0,1,0,0,2,3,0,1,1,0,0,2,0,0,0,2,1,2,2,0,0,0,1,1,0,0,0,1,0,2,1,0,1,0,1,2,4,0,1,3,1,0,1,0,2,0,1,0,1,0,3,2,3,3,2,0,0,4,1,1,2,0,1,2,0,2,0,1,0,2,2,4,2,0,0,1,4,0,2,2,0,1,2,3,0,1,1,0,1,2,1,0,1,1,1,3,1,0,1,0,3,0,0,3,0,0,0,1,0,0,0,2,0,2,0,0,1,0,2
"Gene28431",1,3,0,3,4,2,10,10,4,1,5,1,10,5,2,5,6,4,3,5,2,1,3,1,2,1,2,3,1,1,4,7,10,3,1,0,2,5,8,3,5,10,7,4,4,10,3,5,5,6,10,6,6,2,3,3,3,3,2,6,2,2,2,1,6,7,1,1,5,2,5,7,4,8,2,4,5,3,4,1,1,5,3,7,6,7,6,5,0,9,4,5,3,3,4,2,4,6,9,6,2,6,6,4,7,1,9,6,0,2,6,4,1,5,3,1,5,3,2,1
"Gene28432",3,2,0,1,5,1,3,1,3,2,2,0,4,2,5,3,3,1,1,2,1,2,4,0,8,2,3,2,2,4,5,9,4,4,1,1,6,1,1,2,1,2,4,0,4,3,6,7,1,5,1,2,0,2,1,1,0,3,2,0,3,4,2,2,0,2,7,1,6,6,5,8,2,4,7,1,5,5,8,3,7,6,3,5,3,2,1,1,1,2,7,4,6,5,2,2,4,3,6,6,2,2,6,6,9,1,3,4,4,2,2,2,0,3,3,3,5,3,2,8
"Gene28433",5,4,8,3,7,1,17,7,11,7,7,8,8,2,14,1,8,8,9,2,8,11,10,8,1,4,4,16,4,5,7,4,3,2,3,9,2,2,1,4,3,3,12,2,4,5,3,4,3,2,6,2,2,2,6,3,8,6,1,7,2,4,0,0,1,4,2,0,4,2,1,1,2,7,6,1,2,1,3,3,4,3,1,1,4,5,2,2,2,1,4,3,2,3,1,5,6,4,5,1,5,3,4,6,3,5,9,4,2,5,1,3,2,0,2,5,4,1,1,7
"Gene28434",15,7,3,5,4,3,3,17,4,11,12,6,8,8,5,8,9,7,12,4,10,5,6,5,12,11,9,3,4,18,7,9,11,6,8,2,6,4,3,12,10,7,4,5,5,8,4,1,3,2,8,1,4,6,9,4,10,7,4,11,6,6,3,2,4,3,10,3,10,2,8,8,7,4,6,8,4,5,7,3,3,5,4,10,4,7,9,6,5,8,4,6,4,8,1,7,7,7,5,5,2,4,5,3,10,6,13,4,4,6,2,8,4,6,5,2,8,3,7,2
"Gene28435",4,1,1,9,2,4,5,4,0,1,1,2,4,0,9,2,3,4,2,5,7,1,3,2,1,3,7,1,1,7,1,0,0,3,5,5,0,5,2,3,1,4,1,10,2,0,3,2,3,1,3,5,2,5,1,5,2,1,0,1,1,5,1,2,1,0,5,1,1,1,1,2,2,3,4,0,1,2,4,1,4,3,3,2,0,1,3,3,3,3,0,0,3,5,3,2,1,4,2,6,2,5,2,2,9,0,2,3,1,2,0,2,1,0,4,4,1,2,1,4
"Gene28436",3,1,1,2,0,0,5,4,0,1,0,1,4,1,2,2,1,1,0,1,3,4,1,1,1,0,1,1,1,8,2,2,9,6,4,5,4,2,1,4,3,4,3,5,0,4,5,5,4,2,2,0,0,2,3,2,1,4,3,5,1,2,3,4,2,1,4,0,1,2,0,1,1,0,4,0,2,0,1,0,3,0,1,1,1,1,2,1,4,1,0,1,0,0,0,0,0,1,2,0,2,2,0,2,2,1,1,2,0,3,0,1,1,2,1,0,3,0,2,1
"Gene28437",1,2,7,6,3,2,8,5,6,2,0,6,5,2,1,2,5,3,2,15,5,4,4,3,3,5,12,2,1,3,22,1,5,0,27,6,2,1,2,8,22,8,5,7,1,7,1,15,1,10,4,1,3,2,7,4,3,6,9,16,2,8,0,7,7,8,4,5,5,8,2,2,3,5,2,8,14,11,0,8,9,14,3,8,2,4,9,1,1,4,5,2,1,9,7,8,5,1,2,3,4,6,1,5,8,1,6,5,0,5,2,5,4,2,3,8,5,5,0,6
"Gene28438",4,7,5,0,4,2,7,1,3,3,4,2,1,3,4,2,2,4,1,3,2,4,1,1,1,1,4,1,4,3,7,3,7,2,3,0,0,1,3,6,3,2,1,1,1,3,1,10,2,2,7,3,2,4,2,1,1,2,2,2,3,4,3,5,7,5,3,1,3,2,4,2,4,0,4,1,3,3,3,4,4,1,2,4,3,5,5,5,2,3,3,3,2,2,6,2,7,1,3,1,7,3,5,4,4,1,4,4,3,3,3,5,4,7,2,4,3,4,0,4
"Gene28439",7,2,10,2,2,3,7,5,4,2,7,6,5,5,9,4,9,3,6,3,6,3,3,4,1,8,8,2,4,6,2,8,3,5,6,5,4,11,7,8,9,9,4,7,8,4,5,7,8,4,2,6,5,7,3,6,7,10,5,9,4,3,1,3,7,7,5,4,9,4,3,12,5,11,6,5,2,4,18,8,11,17,2,12,4,7,7,1,2,10,6,5,7,4,3,7,4,7,3,5,0,6,11,4,1,9,13,5,7,6,8,3,5,9,3,6,11,5,7,6
"Gene28440",0,0,3,2,1,2,0,1,0,0,2,2,0,1,0,1,0,0,0,2,4,2,0,1,1,1,1,3,4,1,2,2,1,1,1,4,0,0,1,0,3,1,2,0,2,3,3,1,3,2,1,0,1,0,0,2,1,2,2,0,2,0,2,1,4,1,0,2,1,2,1,0,0,0,2,1,1,4,0,0,1,0,3,2,2,1,2,1,0,1,2,3,2,2,1,1,3,3,4,1,1,8,1,2,0,2,1,2,0,2,4,4,0,4,2,4,3,3,3,2
"Gene28441",3,8,10,7,16,8,12,24,16,12,7,12,13,12,10,6,11,8,5,6,6,4,15,4,11,7,17,14,6,12,21,4,21,5,21,10,9,20,14,6,17,5,8,8,4,7,16,22,14,12,12,19,9,4,9,10,13,11,9,13,13,13,7,8,13,6,6,9,14,12,8,11,8,9,20,16,10,9,8,16,3,7,10,15,11,12,15,5,6,15,7,11,10,7,8,13,13,8,10,8,8,6,0,8,20,7,11,5,5,5,7,3,3,12,18,11,3,14,12,13
"Gene28442",10,7,7,3,2,4,8,6,5,2,4,9,4,5,7,5,4,6,11,3,1,8,6,3,4,4,3,9,8,8,5,6,8,4,4,2,5,8,7,4,8,3,6,10,4,2,10,2,3,5,7,3,2,4,3,2,5,3,5,3,10,9,1,7,5,4,4,3,1,1,2,11,8,4,7,2,7,9,8,2,8,3,7,6,0,10,10,2,5,18,1,1,7,5,3,10,5,7,4,1,9,3,3,5,9,3,7,6,7,7,2,8,1,3,2,6,4,7,7,4
"Gene28443",3,0,2,1,2,1,4,2,0,0,1,1,3,1,0,3,0,1,2,1,4,2,0,3,3,2,0,1,1,2,2,0,2,2,4,0,1,1,1,2,2,0,3,1,0,2,3,1,4,2,1,3,1,3,1,5,2,4,2,0,1,3,1,0,2,0,2,1,2,1,1,0,2,3,2,1,0,2,0,0,2,2,1,1,1,0,0,0,1,1,0,1,0,3,1,4,2,0,2,1,1,0,1,2,1,1,0,1,0,0,1,0,0,2,2,0,4,0,2,1
"Gene28444",3,2,3,1,5,4,4,4,2,5,0,3,4,0,2,1,1,4,2,3,1,2,1,0,2,4,1,6,6,2,3,3,6,2,9,1,2,3,8,1,2,2,3,8,4,7,7,5,2,2,2,0,2,3,3,2,2,5,1,6,3,5,7,2,3,0,3,4,0,6,2,6,4,7,5,6,4,2,4,6,6,6,9,7,0,5,5,3,4,7,1,2,2,3,0,4,4,2,1,0,0,2,4,0,7,2,4,0,1,3,1,3,2,4,2,1,0,2,3,1
"Gene28445",4,7,4,1,1,0,4,3,1,2,4,0,3,0,5,3,3,3,1,3,4,5,10,11,3,1,3,5,9,4,4,3,3,1,2,4,1,4,1,2,1,2,1,4,2,6,1,5,2,1,2,1,2,2,3,1,1,3,0,4,2,1,2,0,3,2,2,2,1,7,0,3,2,0,0,3,1,4,2,2,4,3,3,2,4,0,3,0,1,1,1,1,3,0,2,2,3,1,2,6,0,5,3,4,3,2,5,0,4,1,6,4,1,4,4,1,8,7,3,4
"Gene28446",6,3,0,1,7,2,3,6,4,2,4,3,0,2,3,4,1,2,6,4,0,6,7,7,4,2,5,1,2,5,1,2,1,1,4,2,1,1,4,0,0,4,1,2,2,2,0,1,1,2,1,1,4,4,1,2,1,1,0,1,4,3,5,3,4,3,3,0,7,0,3,5,3,2,5,5,3,6,0,0,2,6,2,10,3,3,4,2,4,11,1,2,1,0,1,6,5,4,4,2,6,9,2,6,1,3,3,3,3,6,0,8,1,1,5,4,4,8,6,2
"Gene28447",0,0,0,0,0,0,2,1,0,1,0,1,0,3,1,3,2,2,5,1,2,1,3,0,0,3,0,1,0,2,2,3,2,0,2,1,1,4,2,1,0,3,0,1,0,1,1,2,3,1,1,1,1,2,0,1,0,3,1,2,0,3,0,1,0,1,1,2,2,1,1,3,1,2,0,2,2,3,1,1,0,0,5,0,1,2,2,2,1,2,0,2,1,2,2,5,2,0,1,2,1,2,3,2,2,4,3,2,1,2,1,2,0,3,1,3,2,4,1,0
"Gene28448",5,6,12,2,6,5,6,7,11,3,6,4,5,4,11,3,10,1,11,8,4,9,2,6,7,3,6,3,4,13,8,7,5,3,6,9,1,6,2,5,5,9,8,9,3,4,0,6,5,6,2,4,2,3,3,13,4,8,5,2,1,3,0,5,7,4,2,7,0,3,0,10,2,1,10,5,5,6,1,0,5,5,5,9,3,7,4,7,5,4,5,9,3,12,10,16,6,8,8,6,5,6,7,12,14,9,10,8,6,8,9,4,5,10,10,14,3,10,3,10
"Gene28449",1,2,1,3,2,0,0,2,2,2,0,1,6,0,1,2,8,5,3,2,1,1,0,0,2,0,2,8,2,0,0,1,2,0,0,0,2,5,1,1,3,2,0,0,2,1,3,0,2,1,2,3,3,1,1,2,0,4,5,3,9,3,1,2,1,1,0,7,2,0,4,2,5,2,4,1,1,3,14,3,1,2,4,4,2,3,3,4,2,2,0,2,0,4,0,6,1,0,1,2,1,2,0,1,0,2,0,1,4,1,3,4,2,10,2,3,3,1,2,4
"Gene28450",0,1,2,1,2,1,1,0,1,0,0,0,2,2,3,1,2,0,0,2,0,1,3,2,1,3,0,0,1,0,1,0,0,1,1,0,0,0,2,1,0,2,0,1,0,4,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,2,2,1,1,3,1,0,2,1,1,0,0,1,0,3,0,0,2,1,1,0,1,0,0,0,4,2,1,0,1,0,0,3,0,0,2,0,0,0,3,0,0,0,3,4,0,1,4,0,1,1,0,0,1,0,4
"Gene28451",2,0,0,0,1,0,0,2,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,3,1,0,0,4,0,2,0,2,0,1,3,1,3,1,6,4,1,1,1,0,0,2,0,0,1,0,1,2,0,1,0,2,2,1,0,0,2,0,0,0,1,0,3,2,4,0,0,2,0,0,2,2,2,2,1,1,4,1,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,2,1,0,1,2,2,0,0,0,1,1,0,1
